UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,Park,Rank,2016_Visit
MORA,Lands - http://landsnet.nps.gov/tractsnet/documents/MORA/Metadata/mora_metadata.xml,Mount Rainier National Park,2015/11/17,WA,PW,1528416,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2171131#Mount Rainer National Park,Mount Rainier,Mount Rainier NP,18,1356913
JOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/jotr/Metadata/jotr_metadata.xml,Joshua Tree National Park,2013/04/09,CA,PW,277261,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048550#Joshua Tree National Park,Joshua Tree,Joshua Tree NP,11,2505286
BISC,Lands - http://landsnet.nps.gov/tractsnet/documents/BISC/Metadata/bisc_metadata.xml,Biscayne National Park,2010/12/02,FL,SE,294450,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2167747#Biscayne National Park,Biscayne,Biscayne NP,38,514709
YELL,Lands - http://landsnet.nps.gov/tractsnet/documents/YELL/Metadata/yell_metadata.xml,Yellowstone National Park,2008/04/23,WY,IM,1609331,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048199#Yellowstone National Park,Yellowstone,Yellowstone NP,6,4257177
SHEN,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Shenandoah National Park,2013/12/18,VA,NE,1488805,National Park,Legacy,,,Shenandoah NP,17,1437341
GUMO,Lands - http://landsnet.nps.gov/tractsnet/documents/GUMO/Metadata/gumo_metadata.xml,Guadalupe Mountains National Park,2010/12/21,TX,IM,1377201,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2167742#Guadalupe Mountains National Park,Guadalupe Mountains,Guadalupe Mountains NP,48,181839
HALE,Lands - http://landsnet.nps.gov/tractsnet/documents/HALE/Metadata/hale_metadata.xml,Haleakala National Park,2017/01/26,HI,PW,358382,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2185783#Haleakala National Park,Haleakala,Haleakala NP,20,1263558
HAVO,Lands - http://landsnet.nps.gov/tractsnet/documents/HAVO/Metadata/havo_metadata.xml,Hawai'i Volcanoes National Park,2008/05/30,HI,PW,365210,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2165326#Hawaii Volcanoes National Park,Hawaii Volcanoes,Hawaii Volcanoes NP,14,1887580
BIBE,Lands - http://landsnet.nps.gov/tractsnet/documents/bibe/Metadata/bibe_metadata.xml,Big Bend National Park,2017/01/20,TX,IM,1377082,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2239592#Big Bend National Park,Big Bend,Big Bend NP,42,388290
YOSE,Lands - http://landsnet.nps.gov/tractsnet/documents/YOSE/METADATA/yose_metadata.xml,Yosemite National Park,2016/01/27,CA,PW,255923,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2210713#Yosemite National Park,Yosemite,Yosemite NP,3,5028868
PINN,Lands - http://landsnet.nps.gov/tractsnet/documents/PINN/METADATA/pinn_metadata.xml,Pinnacles National Park,2014/02/05,CA,PW,247533,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2208014#Pinnacles National Park,Pinnacles,Pinnacles NP,47,215555
VIIS,Lands - http://landsnet.nps.gov/tractsnet/documents/viis/Metadata/viis_metadata.xml,Virgin Islands National Park,2013/04/04,VI,SE,1614406,National Park,Lands,POC:  Gil_Noice@nps.gov (boundary data only),Virgin Islands,Virgin Islands NP,40,411343
ROMO,Lands - http://landsnet.nps.gov/tractsnet/documents/ROMO/METADATA/romo_metadata.xml,Rocky Mountain National Park,2013/11/20,CO,IM,204948,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2209626#Rocky Mountain National Park,Rocky Mountain,Rocky Mountain NP,4,4517585
SEQU,Lands - http://landsnet.nps.gov/tractsnet/documents/SEQU/Metadata/sequ_metadata.xml,Sequoia National Park,2008/11/26,CA,PW,266000,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048045#Sequoia National Park,Sequoia,Sequoia NP,21,1254688
DEVA,Lands - http://landsnet.nps.gov/tractsnet/documents/DEVA/METADATA/deva_metadata.xml,Death Valley National Park,2014/04/22,CA,PW,857501,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2209590#Death Valley National Park,Death Valley,Death Valley NP,19,1296283
CAVE,Lands - http://landsnet.nps.gov/tractsnet/documents/CAVE/Metadata/cave_metadata.xml,Carlsbad Caverns National Park,2017/06/22,NM,IM,904780,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1047926#Carlsbad Caverns National Park,Carlsbad Caverns,Carlsbad Caverns NP,39,466773
GRCA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRCA/METADATA/grca_metadata.xml,Grand Canyon National Park,2014/04/15,AZ,IM,23866,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2209617#Grand Canyon National Park,Grand Canyon,Grand Canyon NP,2,5969811
WICA,Lands - http://landsnet.nps.gov/tractsnet/documents/WICA/Metadata/WICA_metadata.xml,Wind Cave National Park,2016/04/19,SD,MW,1263056,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2239942#Wind Cave National Park,Wind Cave,Wind Cave NP,30,617377
ZION,Lands - http://landsnet.nps.gov/tractsnet/documents/ZION/Metadata/zion_metadata.xml,Zion National Park,2017/06/22,UT,IM,1455157,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2181118#Zion National Monument,Zion,Zion NP,5,4295127
GRSA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRSA/METADATA/grsa_metadata.xml,Great Sand Dunes National Park,2017/06/22,CO,IM,2733443,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2194474#Great Sand Dunes National Park and Preserve,Great Sand Dunes,Great Sand Dunes NP & PRES,41,388308
MACA,Lands - http://landsnet.nps.gov/tractsnet/documents/MACA/Metadata/maca_metadata.xml,Mammoth Cave National Park,2009/03/27,KY,SE,507318,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048014#Mammoth Cave National Park,Mammoth Cave,Mammoth Cave NP,33,586514
GRTE,Lands - http://landsnet.nps.gov/tractsnet/documents/GRTE/Metadata/grte_metadata.xml,Grand Teton National Park,2009/04/30,WY,IM,1597571,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1047976#Grand Teton National Park,Grand Teton,Grand Teton NP,9,3270076
DENA,Lands - http://landsnet.nps.gov/tractsnet/documents/DENA/Metadata/DENA_metadata.xml,Denali National Park and Preserve,2016/09/21,AK,AK,2760439,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/2225691#Denali National Park and Preserve,Denali,Denali NP & PRES,32,587412
